Temperature_[K],Pressure_[bar],Surface_Tension_[mN/m],Interfacial_Thickness_[Å],x_CO2,y_CO2,liquid_density_[kg/m3],vapor_density_[kg/m3],Enrichment_AR_[-]
223.07,34.291403285880165,10.175724503089345,9.204814707676384,0.9300322448836931,0.2566576528866927,1132.277181506005,88.08986086431925,2.588924686735879
223.07,34.75229115656503,10.109426232005045,9.240581076456898,0.9288259042782395,0.2543402667892735,1132.0005384696954,89.38389482090379,2.578228941124028
223.07,35.212742189565674,10.043438021446866,9.276083474932328,0.927619563672786,0.25209233277428533,1131.7231527139534,90.68093329960217,2.5676141102093153
223.07,35.67275649458341,9.977758450746933,9.312604934720667,0.9264132230673324,0.2499111285237366,1131.4450219687114,91.98099402672446,2.5570796053998066
223.07,36.13233419537872,9.912386011750208,9.348892319079413,0.9252068824618789,0.247794075118748,1131.166143959257,93.28409492308963,2.5466248245937364
223.07,36.591475429427625,9.847319241551542,9.384886242923727,0.9240005418564252,0.2457387277623648,1130.8865164061542,94.59025410297087,2.536249164359517
223.07,37.050180347631425,9.782556688338303,9.421615066456127,0.9227942012509717,0.24374276721342855,1130.6061370251866,95.89948987315083,2.525952017644177
223.07,37.508449114087,9.718096911167844,9.45825102158922,0.9215878606455181,0.24180399186883905,1130.3250035273063,97.21182073204494,2.5157327743497166
223.07,37.96628190580942,9.653938479914805,9.494599981468276,0.9203815200400646,0.23992031043767403,1130.0431136185775,98.52726536890081,2.5055920812824057
223.07,38.42367891250484,9.59007997499146,9.531452020654669,0.919175179434611,0.23808973515615892,1129.760465000129,99.84584266305397,2.4955732587198125
223.07,38.88064033637844,9.526519986872563,9.568446213020088,0.9179688388291574,0.23631037549757739,1129.4770553681196,101.16757168324783,2.4856287734969156
223.07,39.33716639192879,9.463257116101918,9.605159593918408,0.9167624982237038,0.2345804323354682,1129.192882413693,102.49247168698822,2.475758061044566
223.07,39.793257305794135,9.400289973430166,9.64216200783762,0.9155561576182503,0.23289819252248445,1128.9079438229523,103.8205621199318,2.465960554641831
223.07,40.24891331653878,9.33761718044148,9.67952354083475,0.9143498170127967,0.23126202385082517,1128.6222372769205,105.15186261531147,2.456235685781705
223.07,40.70413467454299,9.275237370297674,9.716610184135043,0.9131434764073432,0.229670370363247,1128.3357604515206,106.4863929933831,2.446582884477185
223.07,41.15892164181411,9.213149188033249,9.753790675059385,0.9119371358018896,0.22812174798658968,1128.0485110175412,107.82417326087374,2.4370015795708766
223.07,41.61327449191086,9.151351290505355,9.791528113024206,0.910730795196436,0.22661474046218424,1127.7604866406305,109.16522361046356,2.4274911990542827
223.07,42.06719350976862,9.089842345951176,9.82899634558725,0.9095244545909824,0.2251479955499337,1127.4716849812612,110.50956442024591,2.418051170376762
223.07,42.520678991590216,9.02862103341642,9.866383159150018,0.9083181139855289,0.22372022148479284,1127.1821036947247,111.8572162532069,2.408680920731633
